ID,SRS011061,SRS011084,SRS011134,SRS011239,SRS011271,SRS011302,SRS011405,SRS011452,SRS011529,SRS011586,SRS012273,SRS012902,SRS013158,SRS013215,SRS013476,SRS013521,SRS013687,SRS013800,SRS013951,SRS014235,SRS014287,SRS014313,SRS014459,SRS014613,SRS014683,SRS014923,SRS014979,SRS015065,SRS015133,SRS015190,SRS015217,SRS015264,SRS015369,SRS015578,SRS015663,SRS015782,SRS015794,SRS015854,SRS015960,SRS016018,SRS016056,SRS016095,SRS016203,SRS016267,SRS016335,SRS016495,SRS016517,SRS016585,SRS016753,SRS016954,SRS016989,SRS017103,SRS017191,SRS017247,SRS017307,SRS017433,SRS017521,SRS017701,SRS017821,SRS018133,SRS018313,SRS018351,SRS018427,SRS018575,SRS018656,SRS018817,SRS019030,SRS019161,SRS019267,SRS019397,SRS019582,SRS019601,SRS019685,SRS019787,SRS019910,SRS019968,SRS020233,SRS020328,SRS020869,SRS021484,SRS021948,SRS022071,SRS022137,SRS022524,SRS022609,SRS022713,SRS023176,SRS023346,SRS023526,SRS023583,SRS023829,SRS023914,SRS023971,SRS024009,SRS024075,SRS024132,SRS024265,SRS024331,SRS024388,SRS024435,SRS024549,SRS024625,SRS042284,SRS042628,SRS043001,SRS043411,SRS043701,SRS045004,SRS045645,SRS045713,SRS047014,SRS047044,SRS048164,SRS048870,SRS049164,SRS049712,SRS049900,SRS049959,SRS049995,SRS050299,SRS050422,SRS050752,SRS050925,SRS051031,SRS051882,SRS052027,SRS052697,SRS053214,SRS053335,SRS053398,SRS054590,SRS054956,SRS055982,SRS056259,SRS056519,SRS057478,SRS057717,SRS058723,SRS058770,SRS062427,SRS063040,SRS063985,SRS064276,SRS064557,SRS064645,SRS065504,SRS075398,SRS077730,SRS078176
Acidaminococcus_fermentans_DSM_20731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus_sp_D21,0,0,0,0.0065752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022508,0,0,0.027196,0,0,0,0,0,0.035314,0.014329,0,0,0,0,0,0,0,0,0,0,0,0.0010952,0,0.038462,0.034902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044246,0,0,0,0,0,0.0022937,0.0027282,0,0,0,0,0,0,0.0010561,0,0,0.0031749,0,0,0,0.012863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014394,0,0,0,0.0021543,0,0,0,0.0018159,0.0095526,0,0,0,0,0.010734,0.014658,0,0.022073,0,0,0,0,0,0,0,0,0.0028951,0.0054207,0,0,0.0025867,0,0,0,0,0,0,0,0
Akkermansia_muciniphila_ATCC_BAA_835,0.0019738,0.0037461,0.01582,0.0076626,0,0.0055756,0.0022348,0,0,0.016562,0,0,0,0,0.0060874,0,0.042082,0,0,0.0012997,0,0,0.0013026,0.002405,0,0,0.13957,0,0.047575,0,0.11672,0.0023438,0,0,0.021752,0,0,0.019926,0,0.014382,0,0.0049639,0.0064443,0,0.0098566,0,0,0,0,0,0,0.026431,0,0.0012597,0,0,0.011915,0,0,0,0,0.0060477,0,0,0.01078,0.0023708,0,0.0090782,0,0,0.0058177,0.036308,0,0.033636,0,0.010518,0.0013896,0.11413,0.017398,0.0042043,0.031676,0.001776,0.0026872,0.009428,0,0.083564,0,0,0.00229,0,0,0.0093122,0,0.0018482,0.013103,0.0040389,0,0.0050245,0,0.0036149,0.0018706,0,0,0.016731,0,0.0049995,0,0,0,0,0,0,0,0.013151,0,0,0,0,0,0.011097,0,0.044163,0,0.0094356,0.016326,0,0.001065,0.023878,0,0,0,0,0,0,0,0,0,0,0,0.041497,0.0011199,0.023156,0.061076,0,0,0.015719,0,0.0093891,0.0060183
Alistipes_putredinis_DSM_17216,0.05642,0.13121,0.095282,0.16839,0.055266,0.090159,0.022171,0.001563,0.019608,0.03074,0.13887,0.0018423,0.010947,0.0021965,0.049418,0.037154,0.0024819,0.095139,0.020255,0.081774,0.081779,0.011434,0.066264,0.095491,0.18082,0.058647,0.038911,0.057896,0.049415,0.039365,0.010227,0.063619,0.034558,0,0.11836,0.14347,0.11862,0.018556,0.12312,0.25623,0.038241,0.087934,0.094665,0.01669,0.11691,0.020727,0.02247,0.0029414,0.0052826,0.074822,0.0072673,0.10997,0.04372,0.033887,0.028094,0.12553,0.0038176,0.033769,0.069334,0.36493,0.0058746,0.028533,0.063022,0.0066344,0.08986,0.072428,0.097162,0.092649,0.099245,0.0015855,0.082422,0.017594,0.13722,0.065546,0.045236,0.17403,0.14047,0.20876,0.026772,0.15783,0.20753,0.29179,0.094352,0.092225,0.10666,0.010429,0.0017636,0.0013943,0.079013,0.14375,0.0015535,0.0038331,0.081927,0.024499,0.055377,0.061964,0.051144,0.072462,0.043584,0.15728,0.0029113,0.082904,0.00744,0.052013,0.002859,0.1031,0.096741,0.14541,0.098548,0.083175,0.046943,0.037992,0.064024,0.1733,0.035757,0.0070412,0.0099962,0.022352,0.11394,0.099079,0.021854,0.025826,0.11824,0.083444,0.062906,0.0029348,0.051422,0.10458,0.12798,0.092894,0.019736,0.0080603,0.099608,0.030708,0.0062204,0.010034,0.0012902,0.0043541,0.28103,0.098591,0.077172,0.058135,0.13929,0.050558,0.010056,0.029597,0.0022964,0.37216,0.030639
Anaerostipes_caccae_DSM_14662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001121,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerotruncus_colihominis_DSM_17241,0.0013593,0.0022028,0.003264,0.0019621,0.0012512,0.0087678,0,0.0016673,0,0.0066667,0.0055751,0,0,0,0.002963,0,0.0012328,0,0.0039597,0.0039451,0.0042344,0,0.0043644,0.0016295,0.0010812,0.012584,0.0052299,0.0038229,0.0033892,0.0010963,0.0033584,0.0027826,0,0.0011808,0.0034653,0.0046387,0.0011242,0.0034549,0.0030349,0.0020118,0,0.0022847,0.0015661,0,0.0073766,0.014877,0.017972,0,0,0,0,0,0,0,0.0014263,0,0.0098672,0.0012279,0.0013849,0,0,0.0064217,0.0061176,0.0016337,0.0021662,0.002511,0.001289,0.0017756,0,0,0.0078388,0.0032462,0.0029614,0,0.0035691,0.0016057,0.0054104,0.00524,0.0045266,0.0027422,0.0019115,0.0059022,0.0020107,0.0038392,0.0033323,0,0,0,0.0016541,0,0,0.0017244,0,0.0015089,0,0.0028067,0.0051612,0,0.0011108,0.0020731,0,0,0.0015107,0.015975,0.0016335,0.0024316,0,0,0.0012009,0.0010779,0.0028414,0,0.0024316,0.002026,0.0029859,0,0.001247,0.016603,0.0016858,0,0.0035655,0.0029485,0.0057409,0.0012431,0.0010472,0,0.0051788,0.0016939,0.0021732,0.0015754,0.0011231,0.0030043,0.0013839,0.0029479,0.0012018,0,0,0,0,0,0.0033671,0.0023136,0.0078769,0.001031,0.0012079,0.0037134,0,0,0
Bacteroides_caccae_ATCC_43185,0.047888,0.011086,0.037071,0,0.024227,0.0094944,0.0016804,0.0036524,0.0013469,0.0017756,0.23123,0,0.001144,0.0024447,0.019787,0.010254,0.10265,0.0047624,0.0088634,0.054287,0.030497,0.13707,0.0081962,0.026231,0.065492,0.01096,0.0072818,0.0062536,0.0016538,0.0012358,0,0.019906,0.0073425,0,0.01129,0.043301,0.0019793,0,0.039759,0.019301,0.005879,0.0070268,0.10585,0,0.085714,0,0,0.0024363,0.0013999,0.0073787,0.012355,0.070181,0.1108,0.0018577,0,0.019816,0,0.021004,0.039668,0.024222,0.45612,0.0012797,0.069642,0.0021092,0.0013763,0.0019157,0.031677,0.039396,0.32631,0.045269,0.014728,0.36571,0.025773,0.0010141,0.10908,0.0021993,0.012494,0.031086,0,0.021896,0.0081275,0.028421,0.012562,0,0.0067514,0.0026163,0.0018842,0.0012169,0.047658,0.075004,0.0010911,0.031532,0.0012587,0.0012163,0.001294,0.032292,0.041197,0.037174,0.0062628,0.0025327,0.001717,0.018228,0.0015945,0.0043845,0.05919,0.0010379,0.049171,0.022923,0.025982,0,0.011661,0.021074,0.048198,0.0010818,0.012079,0.0050051,0.0037871,0.0011685,0.025215,0.020553,0.028481,0.032547,0.031182,0.0073716,0.047388,0.0060219,0.015137,0.0012758,0.0086001,0.025935,0,0,0.0056184,0.063214,0.0020419,0.0029612,0.0010527,0.16595,0.04304,0.1384,0,0.0022658,0.043341,0.048694,0.0029939,0.041377,0.0015719,0.0011871,0.021672
Bacteroides_cellulosilyticus_DSM_14838,0.21282,0,0.0031256,0.04977,0.0011676,0,0.0017688,0.0049143,0.0011426,0,0.0023315,0,0,0,0.10854,0,0,0.081263,0.0070142,0.015048,0.047801,0,0.050229,0.0010534,0,0,0.010812,0.03691,0,0.045366,0,0.0042341,0.0024354,0,0,0.004594,0,0,0.0038227,0.018338,0.0011061,0.16026,0.13811,0,0.0090603,0.025723,0.016552,0,0,0.0025613,0.024653,0.0026839,0.019783,0.001085,0,0,0.0024794,0.042651,0.0068768,0.0052322,0,0,0.02878,0,0.029324,0.0010671,0.0070302,0.039429,0.0336,0,0.0014721,0.0079792,0.067655,0.054064,0,0,0.0050231,0,0.0047389,0,0.0093751,0,0,0.010989,0.0051633,0.0029597,0,0,0.0010149,0.011032,0,0,0,0,0.021774,0.01397,0.0010999,0.021381,0.15266,0.067456,0,0.0028728,0,0.0040594,0,0.097111,0.016342,0.009948,0.0047284,0.015089,0.0098222,0,0.0011112,0.077032,0.011236,0,0.0011532,0.0069189,0.0020297,0.047884,0,0,0,0,0,0.0041579,0.018833,0.12023,0.0011303,0.0086877,0.22874,0,0,0.0017004,0,0.0026782,0,0.0026042,0.014997,0.013551,0.025096,0.0010286,0,0.0028841,0,0.0237,0,0.024565,0.0013456
Bacteroides_coprocola_M16_DSM_17136,0.0072105,0.0078633,0.0027738,0.099857,0.0026488,0.010065,0.011303,0.0099867,0.0023149,0.0093907,0.0092289,0.0055858,0.007954,0.0011119,0.0040201,0.0019945,0.002873,0.011173,0.0017235,0.008087,0.0020588,0.0060446,0.029464,0.0028471,0.0070421,0.0030052,0.0034578,0.027679,0.080633,0.013891,0.0024022,0.0072034,0.011624,0.0024871,0.15252,0.057242,0.0054912,0.0063481,0.0066576,0.0095066,0.0088346,0.011127,0.0043467,0.016274,0.0053798,0.0010826,0,0,0.0056206,0.0097308,0.010502,0.015235,0.010995,0.0041194,0.0028677,0.010282,0.0034903,0.011249,0.0082175,0.017471,0.0024538,0.0051927,0.011966,0.009209,0.0063849,0.0019832,0.0075608,0.0070394,0.011868,0.0072295,0.0042741,0.0050457,0.010021,0.010679,0.0049027,0.0061784,0.0083374,0.0042872,0.0039681,0.0071304,0.0088655,0.0053031,0.014117,0.0050318,0.0040426,0.01139,0.0054444,0.0035313,0.0047146,0.021352,0.0065809,0.0025414,0.0059216,0.011835,0.0047376,0.0027735,0.020661,0.016049,0.0062968,0.010134,0,0.012871,0.0064321,0.0043269,0.0021484,0.01159,0.012881,0.0072791,0.0048968,0.0029828,0.0066478,0.014156,0.002888,0.012577,0.0067965,0.0029207,0.013887,0.0036515,0.00349,0.0060217,0.0032377,0.0046213,0.0076143,0.28288,0.0091813,0.012943,0.0076398,0.003602,0.0095491,0.0040718,0.023534,0.0043895,0.01189,0.0055118,0.008493,0.011135,0.0032978,0.0047535,0.012049,0.0032831,0.0056825,0.083388,0.0019857,0.007529,0.010103,0.0051363,0.0063683,0.0044944,0.0015953
Bacteroides_coprophilus_DSM_18228,0.0041123,0.0068195,0.0041841,0.009565,0.0015075,0.0084627,0.012436,0.0035776,0.022878,0.012796,0.0043357,0.0074341,0.0022828,0.0039562,0.0039604,0.0044915,0.0066153,0.0071494,0,0.0080912,0.0034967,0.0065325,0.0039728,0.027742,0.0035097,0.0064644,0.005596,0.0043834,0.013799,0.0084642,0.002207,0.0073038,0.0071045,0.0017948,0.01305,0.0036194,0.0045762,0.0055864,0.0056401,0.012605,0.0067157,0.0037065,0.0027378,0.0034946,0.01835,0.0027683,0.0022536,0,0.0025294,0.0061877,0.0084943,0.0029995,0.0058444,0.0073237,0.011859,0.011122,0.0076244,0.0034882,0.014708,0.0055923,0.0066472,0.030567,0.010371,0.005706,0.0020111,0.0065065,0.004877,0.0034648,0.0088721,0.0031762,0.0069549,0.0077918,0.011821,0.0052373,0.0047928,0.0095562,0.0050489,0.0096417,0.0017818,0.0069384,0.0056071,0.002549,0.0090535,0.0018088,0.0070362,0.015464,0.0047222,0.0072563,0.0025766,0.0096968,0.0047511,0.0073022,0.0025412,0.017409,0.0068661,0.0032355,0.016123,0.0032328,0.0034595,0.0081552,0.0046525,0.0065436,0.010114,0.0044404,0.0071202,0.0067012,0.0079011,0.005906,0.0051128,0.0043366,0.01473,0.0014365,0.0020771,0.0029673,0.014196,0.0050234,0.0050753,0.0080375,0.0048702,0.0072752,0.0062312,0.0029465,0.0040843,0.010851,0.0081713,0.0093284,0.003629,0.0087403,0.010385,0.00395,0.0023638,0.0015855,0.0084046,0.0058502,0.0059506,0.015866,0.0072045,0.0064903,0.003583,0.0066497,0.001963,0.014848,0.0149,0.0065542,0.0050484,0.0059601,0.0045143,0.014066,0.0060366
